AnnoMeseEvento;TOTALE_IN;qta_CF_IN;qta_SI_IN;qta_PT_IN;qta_CP_IN;qta_CI_IN;TOTALE_OUT;qta_CF_OUT;qta_SI_OUT;qta_PT_OUT;qta_CP_OUT;qta_CI_OUT
CHIANTI-FIRENZE;021 Montespertoli ;202108;4;3;1;75.00
CHIANTI-FIRENZE;021 Montespertoli ;202110;0;1;-1;
CHIANTI-FIRENZE;021 Montespertoli ;202111;3;2;1;66.67
CHIANTI-FIRENZE;021 Montespertoli ;202201;0;1;-1;
CHIANTI-FIRENZE;021 Montespertoli ;202202;3;0;3;0.00
CHIANTI-FIRENZE;021 Montespertoli ;202203;6;3;3;50.00
CHIANTI-FIRENZE;021 Montespertoli ;202204;3;2;1;66.67
CHIANTI-FIRENZE;021 Montespertoli ;TOTALE;29;25;4;86.21
CHIANTI-FIRENZE;022 Sambuca ;202101;3;1;2;33.33
CHIANTI-FIRENZE;022 Sambuca ;202102;4;4;0;100.00
CHIANTI-FIRENZE;022 Sambuca ;202103;4;2;2;50.00
CHIANTI-FIRENZE;022 Sambuca ;202104;0;1;-1;
CHIANTI-FIRENZE;022 Sambuca ;202105;5;0;5;0.00
CHIANTI-FIRENZE;022 Sambuca ;202106;0;2;-2;
CHIANTI-FIRENZE;022 Sambuca ;202107;5;2;3;40.00
CHIANTI-FIRENZE;022 Sambuca ;202108;3;1;2;33.33
CHIANTI-FIRENZE;022 Sambuca ;202110;3;0;3;0.00
CHIANTI-FIRENZE;022 Sambuca ;202111;2;1;1;50.00
CHIANTI-FIRENZE;022 Sambuca ;202112;2;0;2;0.00
CHIANTI-FIRENZE;022 Sambuca ;202201;1;0;1;0.00
CHIANTI-FIRENZE;022 Sambuca ;202202;4;3;1;75.00
CHIANTI-FIRENZE;022 Sambuca ;202203;4;1;3;25.00
CHIANTI-FIRENZE;022 Sambuca ;202204;5;2;3;40.00
CHIANTI-FIRENZE;022 Sambuca ;TOTALE;45;20;25;44.44
CHIANTI-FIRENZE;023 Scandicci Charta;202101;4;3;1;75.00
CHIANTI-FIRENZE;023 Scandicci Charta;202102;9;10;-1;111.11
CHIANTI-FIRENZE;023 Scandicci Charta;202103;14;12;2;85.71
CHIANTI-FIRENZE;023 Scandicci Charta;202104;0;1;-1;
CHIANTI-FIRENZE;023 Scandicci Charta;202105;19;6;13;31.58
CHIANTI-FIRENZE;023 Scandicci Charta;202106;3;3;0;100.00
CHIANTI-FIRENZE;023 Scandicci Charta;202107;11;3;8;27.27
