Fascia;Area;AnnoMeseEvento;qta
Fascia 5 (oltre 70 anni);CHIANTI-FIRENZE;202110;2
Fascia 5 (oltre 70 anni);CHIANTI-FIRENZE;202111;2
Fascia 5 (oltre 70 anni);CHIANTI-FIRENZE;202112;2
Fascia 5 (oltre 70 anni);CHIANTI-FIRENZE;202201;1
Fascia 5 (oltre 70 anni);CHIANTI-FIRENZE;202202;4
Fascia 5 (oltre 70 anni);CHIANTI-FIRENZE;202203;7
Fascia 5 (oltre 70 anni);CHIANTI-FIRENZE;202204;4
Fascia 5 (oltre 70 anni);PISTOIA-TIRRENO;202103;2
Fascia 5 (oltre 70 anni);PISTOIA-TIRRENO;202105;4
Fascia 5 (oltre 70 anni);PISTOIA-TIRRENO;202107;5
Fascia 5 (oltre 70 anni);PISTOIA-TIRRENO;202108;2
Fascia 5 (oltre 70 anni);PISTOIA-TIRRENO;202109;2
Fascia 5 (oltre 70 anni);PISTOIA-TIRRENO;202111;5
Fascia 5 (oltre 70 anni);PISTOIA-TIRRENO;202112;1
Fascia 5 (oltre 70 anni);PISTOIA-TIRRENO;202201;1
Fascia 5 (oltre 70 anni);PISTOIA-TIRRENO;202202;3
Fascia 5 (oltre 70 anni);PISTOIA-TIRRENO;202203;7
Fascia 5 (oltre 70 anni);PISTOIA-TIRRENO;202204;2
Fascia 5 (oltre 70 anni);SIENA;202101;2
Fascia 5 (oltre 70 anni);SIENA;202103;3
Fascia 5 (oltre 70 anni);SIENA;202105;8
Fascia 5 (oltre 70 anni);SIENA;202107;5
Fascia 5 (oltre 70 anni);SIENA;202108;5
Fascia 5 (oltre 70 anni);SIENA;202109;1
Fascia 5 (oltre 70 anni);SIENA;202110;6
Fascia 5 (oltre 70 anni);SIENA;202111;4
Fascia 5 (oltre 70 anni);SIENA;202112;3
Fascia 5 (oltre 70 anni);SIENA;202201;1
Fascia 5 (oltre 70 anni);SIENA;202202;1
Fascia 5 (oltre 70 anni);SIENA;202203;5
Fascia 5 (oltre 70 anni);SIENA;202204;6
Fascia 5 (oltre 70 anni);_Chiusa_;202102;1
Fascia 5 (oltre 70 anni);_Chiusa_;202112;1
Fascia 5 (oltre 70 anni);_Chiusa_;202203;1
Fascia 5 (oltre 70 anni);_Chiusa_;202204;1
